text,true,pred,proba_ham,proba_spam
There   are   no   other   charges   after   transfer   charges   and   you   can   withdraw   anyhow   you   like,ham,spam,0.49999871982416005,0.5000012801758401
Ever   thought   about   living   a   good   life   with   a   perfect   partner ?   Just   txt   back   NAME   and   AGE   to   join   the   mobile   community .   ( 100p / SMS ),spam,ham,0.5000003407871345,0.49999965921286554
"Hi   ya   babe   x   u   4goten   bout   me ?     scammers   getting   smart .. Though   this   is   a   regular   vodafone   no ,   if   you   respond   you   get   further   prem   rate   msg / subscription .   Other   nos   used   also .   Beware !",spam,ham,0.5000056430515446,0.49999435694845534
Hi   if   ur   lookin   4   saucy   daytime   fun   wiv   busty   married   woman   Am   free   all   next   week   Chat   now   2   sort   time   09099726429   JANINExx   Calls   1 / minMobsmoreLKPOBOX177HP51FL,spam,ham,0.5000016512940213,0.49999834870597887
ROMCAPspam   Everyone   around   should   be   responding   well   to   your   presence   since   you   are   so   warm   and   outgoing .   You   are   bringing   in   a   real   breath   of   sunshine .,spam,ham,0.5000039909199203,0.4999960090800797
Can   u   get   pic   msgs   to   your   phone ?,ham,spam,0.4999987024619467,0.5000012975380533
K .. u   also   dont   msg   or   reply   to   his   msg ..,ham,spam,0.49999828352850956,0.5000017164714905
Sorry   I   missed   your   call   let   s   talk   when   you   have   the   time .   I   m   on   07090201529,spam,ham,0.5000178594313104,0.49998214056868967
More   people   are   dogging   in   your   area   now .   Call   09090204448   and   join   like   minded   guys .   Why   not   arrange   1   yourself .   There   s   1   this   evening .   A   1.50   minAPN   LS278BB,spam,ham,0.5000032778731974,0.49999672212680263
No .   She   s   currently   in   scotland   for   that .,ham,spam,0.4999962421493929,0.5000037578506071
Can   U   get   2   phone   NOW ?   I   wanna   chat   2   set   up   meet   Call   me   NOW   on   09096102316   U   can   cum   here   2moro   Luv   JANE   xx   Calls   1 / minmoremobsEMSPOBox45PO139WA,spam,ham,0.5000090325490921,0.499990967450908
Nokia   phone   is   lovly ..,ham,spam,0.49999158499261115,0.5000084150073888
"Do   you   realize   that   in   about   40   years ,   we   ll   have   thousands   of   old   ladies   running   around   with   tattoos ?",spam,ham,0.5000089035484653,0.4999910964515347
"FreeMsg   Hey   there   darling   it   s   been   3   week   s   now   and   no   word   back !   I   d   like   some   fun   you   up   for   it   still ?   Tb   ok !   XxX   std   chgs   to   send ,     1.50   to   rcv",spam,ham,0.5000021446981888,0.4999978553018113
"Hi   babe   its   Jordan ,   how   r   u ?   Im   home   from   abroad   and   lonely ,   text   me   back   if   u   wanna   chat   xxSP   visionsms . com   Text   stop   to   stopCost   150p   08712400603",spam,ham,0.5000010558898357,0.4999989441101643
For   sale   -   arsenal   dartboard .   Good   condition   but   no   doubles   or   trebles !,spam,ham,0.5000055098791806,0.4999944901208195
How   much   would   it   cost   to   hire   a   hitman,ham,spam,0.4999954382736053,0.5000045617263946
"0A $ NETWORKS   allow   companies   to   bill   for   SMS ,   so   they   are   responsible   for   their     suppliers   ,   just   as   a   shop   has   to   give   a   guarantee   on   what   they   sell .   B .   G .",spam,ham,0.5000043545317113,0.49999564546828873
